"site","date","pm2.5"
"richmond","17/10/1996",4.4
"richmond","18/10/1996",2.5
"earlwood","18/10/1996",NA
"chullora","18/10/1996",NA
"liverpool","18/10/1996",NA
"liverpool","19/10/1996",NA
"richmond","19/10/1996",1.4
"chullora","19/10/1996",NA
"earlwood","19/10/1996",NA
"chullora","20/10/1996",NA
"liverpool","20/10/1996",NA
"earlwood","20/10/1996",NA
"richmond","20/10/1996",2.2
"liverpool","21/10/1996",NA
"earlwood","21/10/1996",7.9
"richmond","21/10/1996",2.3
"chullora","21/10/1996",NA
"earlwood","22/10/1996",NA
"richmond","22/10/1996",4.6
"chullora","22/10/1996",NA
"liverpool","22/10/1996",NA
"liverpool","23/10/1996",NA
"earlwood","23/10/1996",NA
"chullora","23/10/1996",NA
"richmond","23/10/1996",2.2
"liverpool","24/10/1996",NA
"richmond","24/10/1996",1.8
"chullora","24/10/1996",NA
"earlwood","24/10/1996",NA
"liverpool","25/10/1996",NA
"richmond","25/10/1996",5.2
"earlwood","25/10/1996",NA
"chullora","25/10/1996",NA
"richmond","26/10/1996",5.6
"chullora","26/10/1996",NA
"earlwood","26/10/1996",NA
"liverpool","26/10/1996",NA
"liverpool","27/10/1996",NA
"earlwood","27/10/1996",NA
"richmond","27/10/1996",1
"chullora","27/10/1996",NA
"richmond","28/10/1996",4.7
"earlwood","28/10/1996",NA
"chullora","28/10/1996",NA
"liverpool","28/10/1996",NA
"richmond","29/10/1996",4.4
"earlwood","29/10/1996",NA
"chullora","29/10/1996",NA
"liverpool","29/10/1996",NA
"liverpool","30/10/1996",NA
"richmond","30/10/1996",4.3
"chullora","30/10/1996",NA
"earlwood","30/10/1996",NA
"richmond","31/10/1996",2.6
"earlwood","31/10/1996",NA
"chullora","31/10/1996",NA
"liverpool","31/10/1996",NA
"earlwood","01/11/1996",NA
"richmond","01/11/1996",2.5
"chullora","01/11/1996",NA
"liverpool","01/11/1996",NA
"richmond","02/11/1996",1.8
"chullora","02/11/1996",NA
"liverpool","02/11/1996",NA
"earlwood","02/11/1996",NA
"liverpool","03/11/1996",NA
"earlwood","03/11/1996",NA
"chullora","03/11/1996",NA
"richmond","03/11/1996",2
"liverpool","04/11/1996",NA
"richmond","04/11/1996",3.1
"chullora","04/11/1996",NA
"earlwood","04/11/1996",NA
"chullora","05/11/1996",NA
"earlwood","05/11/1996",NA
"richmond","05/11/1996",-0.1
"liverpool","05/11/1996",NA
"liverpool","06/11/1996",NA
"earlwood","06/11/1996",NA
"richmond","06/11/1996",1.6
"chullora","06/11/1996",NA
"liverpool","07/11/1996",NA
"earlwood","07/11/1996",NA
"richmond","07/11/1996",0.1
"chullora","07/11/1996",NA
"richmond","08/11/1996",1.9
"chullora","08/11/1996",NA
"liverpool","08/11/1996",NA
"earlwood","08/11/1996",NA
"liverpool","09/11/1996",NA
"richmond","09/11/1996",1.9
"chullora","09/11/1996",NA
"earlwood","09/11/1996",NA
"liverpool","10/11/1996",NA
"chullora","10/11/1996",NA
"richmond","10/11/1996",1.6
"earlwood","10/11/1996",NA
"liverpool","11/11/1996",NA
"richmond","11/11/1996",1.7
"earlwood","11/11/1996",NA
"chullora","11/11/1996",NA
"chullora","12/11/1996",NA
"richmond","12/11/1996",1.7
"liverpool","12/11/1996",NA
"earlwood","12/11/1996",NA
